Company,Title,Link,Location,Category
Synthetix,Solidity Engineer,https://cryptocurrencyjobs.co/engineering/synthetix-solidity-engineer/,Remote,Engineering
The Sandbox,Blockchain Developer,https://cryptocurrencyjobs.co/engineering/the-sandbox-blockchain-developer/,Remote,Engineering
Status,Senior Product Design Architect,https://cryptocurrencyjobs.co/design/status-senior-product-design-architect/,Remote,Design
Stability Labs,Solidity Engineer,https://cryptocurrencyjobs.co/engineering/stability-labs-solidity-engineer/,Berlin,Remote
Set,Senior Back-End Engineer,https://cryptocurrencyjobs.co/engineering/set-senior-back-end-engineer/,Remote,San
Set,Smart Contract Engineer,https://cryptocurrencyjobs.co/engineering/set-smart-contract-engineer/,Remote,San
brainbot technologies,Communications & Growth Lead,https://cryptocurrencyjobs.co/marketing/brainbot-technologies-communications-growth-lead/,Berlin,Marketing
MetaMask,Smart Contract Developer,https://cryptocurrencyjobs.co/engineering/konkrete-smart-contract-developer/,Melbourne,Remote
The Graph,Senior Mobile Developer,https://cryptocurrencyjobs.co/engineering/metamask-at-consensys-senior-mobile-developer/,Remote,Americas
Authenteq,UI Engineer,https://cryptocurrencyjobs.co/engineering/the-graph-ui-engineer/,Remote,Engineering
CasperLabs,Head of Marketing,https://cryptocurrencyjobs.co/marketing/authenteq-head-of-marketing/,Berlin,Marketing
CoinDCX,Software Engineer,https://cryptocurrencyjobs.co/engineering/casperlabs-software-engineer/,Remote,Engineering
Paradigm,UI/UX Designer,https://cryptocurrencyjobs.co/design/coindcx-ui-ux-designer/,Mumbai,Design
Binance,Business Operations Analyst,https://cryptocurrencyjobs.co/operations/paradigm-business-operations-analyst/,San,Francisco
Circle,Graphic Designer (LATAM),https://cryptocurrencyjobs.co/design/binance-graphic-designer-latam/,Argentina,Remote
Poloniex,"Paralegal, Corporate",https://cryptocurrencyjobs.co/operations/circle-paralegal-corporate/,Boston,Operations
BitMEX,Principal Product Manager,https://cryptocurrencyjobs.co/other/poloniex-principal-product-manager/,Boston,Other
SEBA Crypto AG,Recruiter,https://cryptocurrencyjobs.co/operations/bitmex-recruiter/,Hong,Kong
OKCoin,Senior Compliance Officer,https://cryptocurrencyjobs.co/operations/seba-crypto-ag-senior-compliance-officer/,Zug,Operations
Upvest,Visual Designer,https://cryptocurrencyjobs.co/design/okcoin-visual-designer/,San,Francisco
Bitwala,Growth Intern,https://cryptocurrencyjobs.co/marketing/upvest-growth-intern-berlin/,Berlin,Marketing
Figure,Marketing Designer,https://cryptocurrencyjobs.co/design/bitwala-marketing-designer/,Berlin,Design
Chainlink,Senior Software Engineer,https://cryptocurrencyjobs.co/engineering/figure-senior-software-engineer/,Philadelphia,Engineering
CoinDCX,Technical Writer (Global),https://cryptocurrencyjobs.co/engineering/chainlink-technical-writer-global/,Remote,Engineering
Algorand,Community Manager,https://cryptocurrencyjobs.co/marketing/coindcx-community-manager/,Mumbai,Marketing
Celo,Intern - Cryptography,https://cryptocurrencyjobs.co/engineering/algorand-intern-cryptography/,Boston,Engineering
Solana,Intern Software Engineer (Spring/Summer 2020),https://cryptocurrencyjobs.co/engineering/celo-intern-software-engineer-spring-summer-2020/,San,Francisco
Validity Labs,Senior UX/UI Designer,https://cryptocurrencyjobs.co/design/solana-senior-ux-ui-designer/,San,Francisco
0x,Administrative Assistant Internship,https://cryptocurrencyjobs.co/operations/validity-labs-administrative-assistant-internship/,Zurich,Operations
Bitso,Corporate Counsel,https://cryptocurrencyjobs.co/operations/0x-corporate-counsel/,San,Francisco
eToro,Customer Support Agent,https://cryptocurrencyjobs.co/customer-support/bitso-customer-support-agent/,Mexico,City
Binance,Graphic Designer,https://cryptocurrencyjobs.co/design/etoro-graphic-designer/,Hoboken,Design
Blockchain,Social Media Manager,https://cryptocurrencyjobs.co/marketing/binance-social-media-manager/,San,Francisco
Blockstack,Customer Success Associate (Live Chat),https://cryptocurrencyjobs.co/customer-support/blockchain-customer-success-associate-live-chat/,Vilnius,Customer
OmiseGO,Developer Evangelist,https://cryptocurrencyjobs.co/engineering/blockstack-developer-evangelist/,New,York
Invictus Capital,Director of Strategic Partnerships,https://cryptocurrencyjobs.co/sales/omisego-director-of-strategic-partnerships/,Bangkok,Remote
SettleMint,Lead Quantitative Trader,https://cryptocurrencyjobs.co/other/invictus-capital-lead-quantitative-trader/,Cape,Town
Matic Network,VP of Sales,https://cryptocurrencyjobs.co/sales/settlemint-vp-of-sales/,Singapore,Sales
Input Output,Golang Developer,https://cryptocurrencyjobs.co/engineering/matic-network-golang-developer/,Bangalore,Engineering
GSR,Governance Product Manager,https://cryptocurrencyjobs.co/other/input-output-governance-product-manager/,Remote,Other
Luno,Operations Support Engineer,https://cryptocurrencyjobs.co/other/gsr-operations-support-engineer/,Singapore,Other
Synthetic Minds,Product Support Manager,https://cryptocurrencyjobs.co/other/luno-product-support-manager/,Cape,Town
Genesis Global Trading,Software Engineer: Scalability and Infrastructure,https://cryptocurrencyjobs.co/engineering/synthetic-minds-software-engineer-scalability-and-infrastructure/,San,Francisco
SFOX,Human Resources Manager,https://cryptocurrencyjobs.co/operations/genesis-global-trading-human-resources-manager/,New,York
IoTeX,Product Designer,https://cryptocurrencyjobs.co/design/sfox-product-designer/,Los,Angeles
Bitstamp,Software Engineer (Intern),https://cryptocurrencyjobs.co/engineering/iotex-software-engineer-intern/,Menlo,Park
Bittrex,Business Development Associate,https://cryptocurrencyjobs.co/sales/bitstamp-business-development-associate/,London,Sales
MakerDAO,Customer Support Analyst,https://cryptocurrencyjobs.co/customer-support/bittrex-customer-support-analyst/,Bellevue,Customer
Nivaura,Ethereum Smart Contracts Engineer,https://cryptocurrencyjobs.co/engineering/makerdao-ethereum-smart-contracts-engineer/,Argentina,Remote
